Title,Authors,Co-authors,Editors,Illustrators,Publisher,Edition,Year,Volume,ISBN,ISBN13,ISSN,"Call No",Category,Subject,Type,Description,Tags,Series
"Ecological Landscape Planning (Process Architecture 127)","Makoto Yokohori",,,,"MUROTANI BUNJI",,1995,,4893311271,9784893311276,,J2,Unknown,,Book,,,
"Ecology and Planning: An Introductory Study","Paul H. Selman",,,,"George Godwin Limited",,1981,,0711455554,9780711455559,,E1,Unknown,,Book,"Book by Selman, Paul H. - from Amzon","Environmental Economics, Environmental, Natural Resources, Business & Finance",
"Economic Geography",,,,,Prentice-Hall,2,1979,,0876920741,,,H2,economy,,Book,,,
"Economics of Development","Malcolm Gillis; Dwight H. Perkins; Michael Roemer; Donald R. Snodgrass",,,,"W. W. Norton & Company",2nd,1987,,0393956032,9780393956030,,H3,Unknown,,Book,"This textbook offers information on world population and health, the debt crisis of the developing world, and the strengths and weaknesses of market-oriented economic reforms. It emphasizes structural adjustment and draws practical examples from South America, Asia and Africa. - from Amzon",,
"Economics Of Industrial Ecology : Material, Structural Change, and Spatial Scales",,,"Jeroen C.J.M",,"The MIT Press",,,,,,,F3,Ecology,,Book,,,
"Economics of Industrial Ecology: Materials, Structural Change, and Spatial Scales (MIT Press)",,,,,"The MIT Press",,2004,,0262220717,9780262220712,,H2,Unknown,,Book,"<p><b>Studies that integrate scientific, technological, and economic dimensions of industrial ecology and material flows.</b></p><p>The use of economic modeling techniques in industrial ecology research provides distinct advantages over the customary approach, which focuses on the physical description of material flows. The thirteen chapters of <i>Economics of Industrial Ecology</i> integrate the natural science and technological dimensions of industrial ecology with a rigorous economic approach and by doing so contribute to the advancement of this emerging field. Using a variety of modeling techniques (including econometric, partial and general equilibrium, and input-output models) and applying them to a wide range of materials, economic sectors, and countries, these studies analyze the driving forces behind material flows and structural changes in order to offer guidance for economically and socially feasible policy solutions.</p><p>After a survey of concepts and relevant research that provides a useful background for the chapters that follow, the book presents historical analyses of structural change from statistical and decomposition approaches; a range of models that predict structural change on the national and regional scale under different policy scenarios; two models that can be used to analyze waste management and recycling operations; and, adopting the perspective of local scale, an analysis of the dynamics of eco-industrial parks in Denmark and the Netherlands. The book concludes with a discussion of the policy implications of an economic approach to industrial ecology.</p> - from Amzon","Environmental Economics, Environmental, Ecology, Environmental Science, Essays & Commentary, Environment",
"Economix: How and Why Our Economy Works (and Doesn't Work) in Words and Pictures","Michael Goodwin; David Bach; Joel Bakan",,,,"Harry N. Abrams",,2012,,0810988399,9780810988392,,H3,Unknown,,Book,"<div>Stimulus plans: good or bad? Free markets: How free are they? Jobs: Can we afford them? Occupy Wall Street . . . worldwide!<br>Everybody's talking about the economy, but how can we, the people, understand what Wall Street or Washington knows--or say they know? Read <i>Economix</i>.<br>With clear, witty writing and quirky, accessible art, this important and timely graphic novel transforms ""the dismal science"" of economics into a fun, fact-filled story about human nature and our attempts to make the most of what we've got . . . and sometimes what our neighbors have got. <i>Economix </i>explains it all, from the beginning of Western economic thought, to markets free and otherwise, to economic failures, successes, limitations, and future possibilities. It's the essential, accessible guide to understanding the economy and economic practices. A must-read for every citizen and every voter.<br><br><b>PRAISE FOR <i>ECONOMIX</i></b><br><b></b>""<i>Economix</i> is a lively, cheerfully opinionated romp through the historical and intellectual foundations of our current economy and our current economic problems. Goodwin has a knack for distilling complex ideas and events in ways that invite the reader to follow the big picture without losing track of what actually happened. Any reader wondering how our economy got to where it is today will find this a refreshing overview."" --<b>Timothy W. Guinnane</b>, Philip Golden Bartlett Professor of Economic History, Yale University<i> </i></div><br><div>""[<i>Economix</i>] brings a lively visual sensibility to this intensely abstruse subject matter without condescending to the reader or dumbing the ideas down."" --MotherJones.com</div><div><br><b>""</b>This witty and elegant volume takes on a number of complex issues--in this case, economics, history and finance--and makes them comprehensible for mere mortals."" --<i>Miami Herald </i><br><br>""It's simply phenomenal. You could read ten books on the subject and not glean as much information."" -- <b>David Bach</b> founder of FinishRich Media; author of nine <i>New York Times</i> bestsellers, including <i>Debt Free for Life</i> and <i>The Automatic Millionaire</i><br><br>""Goodwin has done the seemingly impossible--he has made economics comprehensible <i>and</i> funny.""--<b>Joel Bakan</b>, author of <i>The Corporation</i>: <i>The Pathological Pursuit of Profit and Power</i><br><br>""An amazing lesson in true-world economics! Delightfully presented, powerful, insightful, and important information! What a fun way to fathom a deep and often dark subject!"" <b>--</b><b>John Perkins</b>, author of <i>Hoodwinked</i> and the <i>New York Times</i> bestseller <i>Confessions of an Economic Hit Man</i><br><br>""Smart, insightful, clear, and as close to the truth as economics can get. The bonus: Who would have guessed that economics could be fun, and--here's the joy--really accessible? Goodwin roots us in history and fills us with common sense understanding. As he puts it early on, economics seems horribly complicated mostly because we're looking at it all at once. Broken down into its component pieces, it's relatively easy to understand. And a good understanding of economics is critical to maneuvering in the world today. If I were compiling a list of the 100 most important books you can read in a lifetime, this would be on it."" --<b>Stephen Petranek</b>, editor-in-chief, Weider History magazines, former editor-in-chief of <i>Discover</i> magazine<br><br>""Through a potent mix of comics and punchy, concise, accessible prose, Goodwin takes us on a provocative, exhaustively researched, and exceedingly engaging trip through our history and present day, creating an alternately hilarious and scary picture of where we are today as an economy<b>-- </b>and what it all means. More than that, Goodwin makes the arcane, understandable. If your mind either spins or slumbers at the thought of economics, read Goodwin's <i>Economix</i> and all will become clear. <b>--</b><b>Nomi Prins</b>, author of <i>It Takes a Pillage: An Epic Tale of Power, Deceit, and Untold Trillions</i></div> - from Amzon","Economic History, Theory, Educational & Nonfiction, Biographies & History",
"Educational Psychology",,,"Charles E. Skinner",,Prentice-Hall,"Eastern Economy Edition",1984,,,,,H1,,,Book,,,
"Elements of Crimes Grodd Violation of Human Rights and Command Responsibility",,,,,,,2006,,,,,,Law,,Book,,,
"Embassies: 50 Years Of Foreign Buildings By The Federal Republic Of Germany","Olaf Asendorf; Dieter Bartezko; Erich Kusch",,,,Wasmuth,,2002,,3803006015,9783803006011,,J2,Unknown,,Book,"Diplomatic missions abroad represent their home countries in many ways, the most visible of which may be the structures that house them. The design of embassies poses a representational problem fit for the most diplomatic of architects. As traced in through the essays collected here, the German embassies built over the last 50 years have instigated a particularly difficult and challenging search for appropriate architectural expression. - from Amzon",,
"Empire of Capital","Ellen Meiksins Wood",,,,Verso,,2003,,1859845029,9781859845028,,C2,Unknown,,Book,"In this era of globalization, we hear a great deal about a new imperialism and its chief enforcer, the United States. Today, with the US promising an endless war against terrorism and promoting a policy of preemptive defense, this notion seems more plausible than ever. <br><br>But what does imperialism mean in the absence of colonial conquest and direct imperial rule? In this lucid and lively book Ellen Meiksins Wood explores the new imperialism against the contrasting background of older forms, from ancient Rome, through medieval Europe, the Arab Muslim world, the Spanish conquests, and the Dutch commercial empire. Tracing the birth of a capitalist imperialism back to the English domination of Ireland, Wood follows its development through the British Empire in America and India. <br><br>The book brings into sharp relief the nature of today’s new capitalist empire, in which the political reach of imperial power cannot match its economic hegemony, and the global economy is administered not by a global state but by a system of multiple local states, policed by the most disproportionately powerful military force the world has ever known and enforced according to a new military doctrine of war without end, in purpose or time. - from Amzon","Free Enterprise, Economics, World, History & Theory, Globalization",
"Enabling Crossovers: Good Practices in the Creative Industries",,,,,"Asia-Europe Foundation",,2014,,,9789810908423,,I2,,,Book,,,
"ENCYCLICAL LATTER LAUDATO SI` OF THE HOLY FATHER FRANCIS ON CARE FOR OUR COMMON HOME",,,,,"VATICAN PRESS",,,,,,,G2,Ecology,,Book,,,
"Encyclopedia of Vernacular Architecture of the World",,,"Paul Oliver",,"Cambridge University Press",,1998,,0521564220,9780521564229,,J2,Unknown,,Book,"Vernacular - or traditional - architecture encompasses most of the buildings of the world. This encyclopedia is the first to show the remarkable diversity of the buildings constructed and lived in by the people of over a thousand cultures. The first of the three volumes focuses on the theories, principles and philosophy that underpin traditional architecture. Volumes 2 and 3 consider these principles within specific cultural and societal contexts. As building traditions vary widely within some countries and extend across the political boundaries of others, the encyclopedia considers vernacular architecture within its cultural rather than its national contexts. Richly illustrated with photographs, line drawings and maps, the work is also supported by a glossary, a lexicon, and the largest bibliography on the subject ever published. This work will be an inspiration and resource for architects, anthropologists, folklorists and geographers, and important for all who help shape housing and conservation policies. - from Amzon","Residential, Vernacular, Architecture, Architecture",
